data_name,sample_size,time,num_of_threads
almost_sorted,1000,0.000426,1
almost_sorted,100000,0.016284,1
almost_sorted,1000000,0.158495,1
random,1000,0.000302,1
random,100000,0.017056,1
random,1000000,0.185948,1
duplicated,1000,0.000179,1
duplicated,100000,0.022251,1
duplicated,1000000,0.228548,1
almost_sorted,1000,0.000362,2
almost_sorted,100000,0.023293,2
almost_sorted,1000000,0.348321,2
random,1000,0.000408,2
random,100000,0.039372,2
random,1000000,0.349831,2
duplicated,1000,0.000403,2
duplicated,100000,0.037209,2
duplicated,1000000,0.364414,2
almost_sorted,1000,0.000498,3
almost_sorted,100000,0.055299,3
almost_sorted,1000000,0.572409,3
random,1000,0.000520,3
random,100000,0.053677,3
random,1000000,0.537359,3
duplicated,1000,0.000685,3
duplicated,100000,0.047421,3
duplicated,1000000,0.551114,3
almost_sorted,1000,0.000628,4
almost_sorted,100000,0.075085,4
almost_sorted,1000000,0.693098,4
random,1000,0.000733,4
random,100000,0.068954,4
random,1000000,0.650156,4
duplicated,1000,0.000829,4
duplicated,100000,0.062770,4
duplicated,1000000,0.656268,4
almost_sorted,1000,0.001131,5
almost_sorted,100000,0.077360,5
almost_sorted,1000000,0.818066,5
random,1000,0.000907,5
random,100000,0.070435,5
random,1000000,0.724636,5
duplicated,1000,0.000740,5
duplicated,100000,0.070156,5
duplicated,1000000,0.796663,5
almost_sorted,1000,0.001173,6
almost_sorted,100000,0.080785,6
almost_sorted,1000000,0.854705,6
random,1000,0.000893,6
random,100000,0.098028,6
random,1000000,0.838654,6
duplicated,1000,0.000956,6
duplicated,100000,0.088961,6
duplicated,1000000,0.821586,6
almost_sorted,1000,0.002524,7
almost_sorted,100000,0.091504,7
almost_sorted,1000000,0.932877,7
random,1000,0.001268,7
random,100000,0.087194,7
random,1000000,1.000883,7
duplicated,1000,0.001085,7
duplicated,100000,0.098369,7
duplicated,1000000,0.938212,7
almost_sorted,1000,0.001259,8
almost_sorted,100000,0.103521,8
almost_sorted,1000000,1.056188,8
random,1000,0.001166,8
random,100000,0.100739,8
random,1000000,1.095182,8
duplicated,1000,0.001221,8
duplicated,100000,0.115933,8
duplicated,1000000,1.020323,8
